"provincia","prod_gas"
"Santa Cruz","320.318"
"Santa Cruz","321.097"
"Santa Cruz","321.471"
"Santa Cruz","321.544"
"Santa Cruz","322.190"
"Santa Cruz","323.108"
"Santa Cruz","323.664"
"Santa Cruz","323.878"
"Santa Cruz","324.236"
"Santa Cruz","324.542"
"Santa Cruz","324.827"
"Santa Cruz","324.842"
"Santa Cruz","324.959"
"Santa Cruz","325.145"
"Santa Cruz","326.877"
"Santa Cruz","327.231"
"Santa Cruz","329.189"
"Santa Cruz","329.437"
"Santa Cruz","329.716"
"Santa Cruz","329.798"
"Santa Cruz","330.654"
"Santa Cruz","331.947"
"Santa Cruz","332.194"
"Santa Cruz","332.584"
"Santa Cruz","332.613"
"Santa Cruz","333.103"
"Santa Cruz","333.897"
"Santa Cruz","334.889"
"Santa Cruz","335.073"
"Santa Cruz","335.105"
"Santa Cruz","336.244"
"Santa Cruz","337.110"
"Santa Cruz","337.690"
"Santa Cruz","337.949"
"Santa Cruz","338.085"
"Santa Cruz","338.944"
"Santa Cruz","339.064"
"Santa Cruz","339.533"
"Santa Cruz","340.109"
"Santa Cruz","340.788"
"Santa Cruz","341.065"
"Santa Cruz","341.286"
"Santa Cruz","341.389"
"Santa Cruz","342.127"
"Santa Cruz","342.957"
"Santa Cruz","343.264"
"Santa Cruz","344.429"
"Santa Cruz","345.146"
"Santa Cruz","345.537"
"Santa Cruz","345.787"
"Santa Cruz","346.425"
"Santa Cruz","346.569"
"Santa Cruz","346.903"
"Santa Cruz","346.953"
"Santa Cruz","347.434"
"Santa Cruz","347.639"
"Santa Cruz","348.609"
"Santa Cruz","349.158"
"Santa Cruz","349.573"
"Santa Cruz","349.704"
"Santa Cruz","351.257"
"Santa Cruz","351.280"
"Santa Cruz","351.291"
"Santa Cruz","351.361"
"Santa Cruz","351.613"
"Santa Cruz","352.563"
"Santa Cruz","352.576"
"Santa Cruz","352.626"
"Santa Cruz","352.722"
"Santa Cruz","352.922"
"Santa Cruz","354.483"
"Santa Cruz","354.538"
"Santa Cruz","355.503"
"Santa Cruz","355.720"
"Santa Cruz","358.301"
"Santa Cruz","358.504"
"Santa Cruz","358.599"
"Santa Cruz","359.093"
"Santa Cruz","359.167"
"Santa Cruz","359.820"
"Santa Cruz","359.945"
"Santa Cruz","360.055"
"Santa Cruz","360.079"
"Santa Cruz","360.380"
"Santa Cruz","360.9306"
"Santa Cruz","360.942"
"Santa Cruz","362.042"
"Santa Cruz","363.385"
"Santa Cruz","363.906"
"Santa Cruz","364.062"
"Santa Cruz","365.523"
"Santa Cruz","365.749"
"Santa Cruz","366.205"
"Santa Cruz","366.880"
"Santa Cruz","367.756"
"Santa Cruz","367.827"
"Santa Cruz","368.649"
"Santa Cruz","369.353"
"Santa Cruz","369.672"
"Santa Cruz","370.057"
"Santa Cruz","370.970"
"Santa Cruz","371.400"
"Santa Cruz","372.331"
"Santa Cruz","373.043"
"Santa Cruz","374.454"
"Santa Cruz","374.757"
"Santa Cruz","374.981"
"Santa Cruz","375.176"
"Santa Cruz","375.265"
"Santa Cruz","375.390"
"Santa Cruz","376.842"
"Santa Cruz","377.347"
"Santa Cruz","377.413"
"Santa Cruz","377.516"
"Santa Cruz","377.809"
"Santa Cruz","378.332"
"Santa Cruz","378.567"
"Santa Cruz","378.606"
"Santa Cruz","378.804"
"Santa Cruz","379.104"
"Santa Cruz","379.984"
"Santa Cruz","380.635"
"Santa Cruz","380.804"
"Santa Cruz","380.874"
"Santa Cruz","381.095"
"Santa Cruz","381.688"
"Santa Cruz","381.806"
"Santa Cruz","382.370"
"Santa Cruz","382.405"
"Santa Cruz","382.909"
"Santa Cruz","383.013"
"Santa Cruz","383.470"
"Santa Cruz","384.618"
"Santa Cruz","384.964"
"Santa Cruz","385.185"
"Santa Cruz","385.975"
"Santa Cruz","386.978"
"Santa Cruz","388.514"
"Santa Cruz","390.332"
"Santa Cruz","390.930"
"Santa Cruz","391.186"
"Santa Cruz","391.374"
"Santa Cruz","391.459"
"Santa Cruz","391.574"
"Santa Cruz","392.526"
"Santa Cruz","392.767"
"Santa Cruz","393.719"
"Santa Cruz","393.762"
"Santa Cruz","394.560"
"Santa Cruz","394.830"
"Santa Cruz","395.036"
"Santa Cruz","395.046"
"Santa Cruz","395.225"
"Santa Cruz","395.242"
"Santa Cruz","396.870"
"Santa Cruz","397.244"
"Santa Cruz","397.734"
"Santa Cruz","399.142"
"Santa Cruz","399.206"
"Santa Cruz","399.257"
"Santa Cruz","399.655"
"Santa Cruz","400.337"
"Santa Cruz","400.382"
"Santa Cruz","400.509"
"Santa Cruz","400.856"
"Santa Cruz","401.217"
"Santa Cruz","401.946"
"Santa Cruz","402.366"
"Santa Cruz","402.470"
"Santa Cruz","403.436"
"Santa Cruz","403.770"
"Santa Cruz","404.772"
"Santa Cruz","406.166"
"Santa Cruz","406.177"
"Santa Cruz","406.523"
"Santa Cruz","407.263"
"Santa Cruz","407.585"
"Santa Cruz","408.112"
"Santa Cruz","408.172"
"Santa Cruz","408.307"
"Santa Cruz","408.404"
"Santa Cruz","409.653"
"Santa Cruz","409.720"
"Santa Cruz","409.753"
"Santa Cruz","410.578"
"Santa Cruz","410.953"
"Santa Cruz","411.244"
"Santa Cruz","411.450"
"Santa Cruz","411.818"
"Santa Cruz","412.742"
"Santa Cruz","414.306"
"Santa Cruz","414.678"
"Santa Cruz","415.796"
"Santa Cruz","416.201"
"Santa Cruz","416.637"
"Santa Cruz","416.893"
"Santa Cruz","417.403"
"Santa Cruz","417.832"
"Santa Cruz","418.361"
"Santa Cruz","419.122"
"Santa Cruz","419.143"
"Santa Cruz","420.147"
"Santa Cruz","420.537"
"Santa Cruz","421.497"
"Santa Cruz","423.550"
"Santa Cruz","423.715"
"Santa Cruz","424.883"
"Santa Cruz","425.803"
"Santa Cruz","426.070"
"Santa Cruz","426.442"
"Santa Cruz","428.134"
"Santa Cruz","429.320"
"Santa Cruz","429.566"
"Santa Cruz","430.353"
"Santa Cruz","430.705"
"Santa Cruz","430.798"
"Santa Cruz","431.439"
"Santa Cruz","431.485"
"Santa Cruz","432.214"
"Santa Cruz","432.294"
"Santa Cruz","432.755"
"Santa Cruz","433.616"
"Santa Cruz","434.013"
"Santa Cruz","434.395"
"Santa Cruz","435.141"
"Santa Cruz","435.921"
"Santa Cruz","436.033"
"Santa Cruz","437.049"
"Santa Cruz","437.156"
"Santa Cruz","437.621"
