"provincia","prod_pet"
"Santa Cruz","11.329"
"Santa Cruz","11.342"
"Santa Cruz","11.398"
"Santa Cruz","11.407"
"Santa Cruz","11.409"
"Santa Cruz","11.415"
"Santa Cruz","11.433"
"Santa Cruz","11.468"
"Santa Cruz","11.469"
"Santa Cruz","11.478"
"Santa Cruz","11.483"
"Santa Cruz","11.490"
"Santa Cruz","11.496"
"Santa Cruz","11.540"
"Santa Cruz","11.570"
"Santa Cruz","11.599"
"Santa Cruz","11.603"
"Santa Cruz","11.644"
"Santa Cruz","11.735"
"Santa Cruz","11.743"
"Santa Cruz","11.765"
"Santa Cruz","11.768"
"Santa Cruz","11.769"
"Santa Cruz","11.804"
"Santa Cruz","11.806"
"Santa Cruz","11.856"
"Santa Cruz","11.869"
"Santa Cruz","11.870"
"Santa Cruz","11.871"
"Santa Cruz","11.889"
"Santa Cruz","11.901"
"Santa Cruz","11.904"
"Santa Cruz","11.911"
"Santa Cruz","11.936"
"Santa Cruz","11.948"
"Santa Cruz","11.967"
"Santa Cruz","11.976"
"Santa Cruz","11.998"
"Santa Cruz","12.131"
"Santa Cruz","12.152"
"Santa Cruz","12.159"
"Santa Cruz","12.169"
"Santa Cruz","12.196"
"Santa Cruz","12.206"
"Santa Cruz","12.212"
"Santa Cruz","12.265"
"Santa Cruz","12.266"
"Santa Cruz","12.267"
"Santa Cruz","12.270"
"Santa Cruz","12.281"
"Santa Cruz","12.297"
"Santa Cruz","12.301"
"Santa Cruz","12.307"
"Santa Cruz","12.309"
"Santa Cruz","12.330"
"Santa Cruz","12.331"
"Santa Cruz","12.333"
"Santa Cruz","12.382"
"Santa Cruz","12.420"
"Santa Cruz","12.429"
"Santa Cruz","12.432"
"Santa Cruz","12.452"
"Santa Cruz","12.492"
"Santa Cruz","12.575"
"Santa Cruz","12.576"
"Santa Cruz","12.594"
"Santa Cruz","12.595"
"Santa Cruz","12.608"
"Santa Cruz","12.615"
"Santa Cruz","12.621"
"Santa Cruz","12.629"
"Santa Cruz","12.631"
"Santa Cruz","12.656"
"Santa Cruz","12.657"
"Santa Cruz","12.693"
"Santa Cruz","12.730"
"Santa Cruz","12.741"
"Santa Cruz","12.763"
"Santa Cruz","12.776"
"Santa Cruz","12.784"
"Santa Cruz","12.798"
"Santa Cruz","12.815"
"Santa Cruz","12.820"
"Santa Cruz","12.830"
"Santa Cruz","12.857"
"Santa Cruz","12.877"
"Santa Cruz","12.878"
"Santa Cruz","12.880"
"Santa Cruz","12.892"
"Santa Cruz","12.988"
"Santa Cruz","12.989"
"Santa Cruz","13.014"
"Santa Cruz","13.016"
"Santa Cruz","13.037"
"Santa Cruz","13.051"
"Santa Cruz","13.068"
"Santa Cruz","13.075"
"Santa Cruz","13.076"
"Santa Cruz","13.122"
"Santa Cruz","13.123"
"Santa Cruz","13.142"
"Santa Cruz","13.167"
"Santa Cruz","13.170"
"Santa Cruz","13.179"
"Santa Cruz","13.187"
"Santa Cruz","13.218"
"Santa Cruz","13.248"
"Santa Cruz","13.256"
"Santa Cruz","13.261"
"Santa Cruz","13.265"
"Santa Cruz","13.272"
"Santa Cruz","13.280"
"Santa Cruz","13.285"
"Santa Cruz","13.288"
"Santa Cruz","13.297"
"Santa Cruz","13.300"
"Santa Cruz","13.358"
"Santa Cruz","13.370"
"Santa Cruz","13.382"
"Santa Cruz","13.392"
"Santa Cruz","13.396"
"Santa Cruz","13.401"
"Santa Cruz","13.450"
"Santa Cruz","13.460"
"Santa Cruz","13.473"
"Santa Cruz","13.477"
"Santa Cruz","13.511"
"Santa Cruz","13.514"
"Santa Cruz","13.521"
"Santa Cruz","13.530"
"Santa Cruz","13.550"
"Santa Cruz","13.584"
"Santa Cruz","13.657"
"Santa Cruz","13.689"
"Santa Cruz","13.695"
"Santa Cruz","13.708"
"Santa Cruz","13.756"
"Santa Cruz","13.787"
"Santa Cruz","13.793"
"Santa Cruz","13.826"
"Santa Cruz","13.836"
"Santa Cruz","13.847"
"Santa Cruz","13.881"
"Santa Cruz","13.918"
"Santa Cruz","13.942"
"Santa Cruz","13.943"
"Santa Cruz","13.960"
"Santa Cruz","13.961"
"Santa Cruz","13.979"
"Santa Cruz","13.986"
"Santa Cruz","14.016"
"Santa Cruz","14.020"
"Santa Cruz","14.038"
"Santa Cruz","14.039"
"Santa Cruz","14.059"
"Santa Cruz","14.098"
"Santa Cruz","14.131"
"Santa Cruz","14.138"
"Santa Cruz","14.166"
"Santa Cruz","14.173"
"Santa Cruz","14.186"
"Santa Cruz","14.210"
"Santa Cruz","14.222"
"Santa Cruz","14.235"
"Santa Cruz","14.258"
"Santa Cruz","14.268"
"Santa Cruz","14.273"
"Santa Cruz","14.303"
"Santa Cruz","14.313"
"Santa Cruz","14.325"
"Santa Cruz","14.358"
"Santa Cruz","14.363"
"Santa Cruz","14.392"
"Santa Cruz","14.471"
"Santa Cruz","14.490"
"Santa Cruz","14.526"
"Santa Cruz","14.592"
"Santa Cruz","14.643"
"Santa Cruz","14.680"
"Santa Cruz","14.681"
"Santa Cruz","14.686"
"Santa Cruz","14.707"
"Santa Cruz","14.731"
"Santa Cruz","14.741"
"Santa Cruz","14.765"
"Santa Cruz","14.782"
"Santa Cruz","14.790"
"Santa Cruz","14.804"
"Santa Cruz","14.823"
"Santa Cruz","14.843"
"Santa Cruz","14.876"
"Santa Cruz","14.902"
"Santa Cruz","14.920"
"Santa Cruz","14.927"
"Santa Cruz","15.005"
"Santa Cruz","15.018"
"Santa Cruz","15.031"
"Santa Cruz","15.059"
"Santa Cruz","15.084"
"Santa Cruz","15.100"
"Santa Cruz","15.112"
"Santa Cruz","15.120"
"Santa Cruz","15.147"
"Santa Cruz","15.163"
"Santa Cruz","15.164"
"Santa Cruz","15.183"
"Santa Cruz","15.186"
"Santa Cruz","15.239"
"Santa Cruz","15.242"
"Santa Cruz","15.304"
"Santa Cruz","15.331"
"Santa Cruz","15.333"
"Santa Cruz","15.344"
"Santa Cruz","15.350"
"Santa Cruz","15.386"
"Santa Cruz","15.448"
"Santa Cruz","15.487"
"Santa Cruz","15.529"
"Santa Cruz","15.562"
"Santa Cruz","15.568"
"Santa Cruz","15.607"
"Santa Cruz","15.619"
"Santa Cruz","15.653"
"Santa Cruz","15.654"
"Santa Cruz","15.702"
"Santa Cruz","15.727"
"Santa Cruz","15.747"
"Santa Cruz","15.750"
"Santa Cruz","15.764"
"Santa Cruz","15.775"
"Santa Cruz","15.790"
"Santa Cruz","15.806"
"Santa Cruz","15.824"
"Santa Cruz","15.932"
"Santa Cruz","15.967"
"Santa Cruz","15.972"
"Santa Cruz","16.026"
"Santa Cruz","16.035"
"Santa Cruz","16.059"
"Santa Cruz","16.107"
"Santa Cruz","16.115"
"Santa Cruz","16.139"
"Santa Cruz","16.178"
"Santa Cruz","16.180"
"Santa Cruz","16.196"
"Santa Cruz","16.210"
"Santa Cruz","16.223"
"Santa Cruz","16.267"
"Santa Cruz","16.342"
"Santa Cruz","16.377"
"Santa Cruz","16.412"
"Santa Cruz","16.447"
"Santa Cruz","16.521"
"Santa Cruz","16.559"
